year,hires,terminations,net_change,change_percent
2000,220,31,189,85.9091
2001,1122,203,919,81.9073
2002,1067,173,894,83.7863
2003,1142,192,950,83.1874
2004,1135,195,940,82.8194
2005,1097,173,924,84.2297
2006,1118,176,942,84.2576
2007,1090,144,946,86.7890
2008,1108,139,969,87.4549
2009,1140,144,996,87.3684
2010,1099,123,976,88.8080
2011,1101,112,989,89.8274
2012,1103,105,998,90.4805
2013,1105,92,1013,91.6742
2014,1053,85,968,91.9278
2015,1059,70,989,93.3900
2016,1122,62,1060,94.4742
2017,1091,51,1040,95.3254
2018,1147,43,1104,96.2511
2019,1083,42,1041,96.1219
2020,1012,20,992,98.0237
